"","beta.est.mean","beta.est.sd","beta.pval"
"beta0",-3.4,0.41,0
"TypeCity",1.07,0.45,0.0174
"TypeCounty",2.26,0.44,0
"TypeSchool",0.94,0.41,0.0219
"TypeTown",-1.04,0.49,0.0338
"TypeVillage",0.39,0.42,0.3531
"c2",1.47,0.21,0
"C3",2.38,0.24,0
"a.hat",1.04,1.04,1.04
"k.hat",8.5,8.5,8.5
