"","Sprem","Cprem","GCprem"
"MSE",0.749024041920908,0.749045551349406,0.636172711764544
"HMSE",0.18069135699765,0.277583708742607,0.216714886629177
"MAE",0.433861838216613,0.379026531232184,0.447522500579637
"DIX",0,0.249333313861234,0
