"","lambda_kappa_level","lambda_hat","E_y"
"15",1,0.04,0.0153846153846154
"8",2,0.1,0
"4",4,0.09,0.105714285714286
"10",5,0.01,0.0153846153846154
"12",6,0.05,0.0333333333333333
"16",7,0.17,0.24
"7",8,0.42,0.3
"2",9,1.33,0.8
"5",10,0.37,0.389285714285714
"11",11,0.05,0.0608695652173913
"13",12,0.21,0.2
"17",13,0.45,0
"6",14,1.08,1.13333333333333
"1",15,3.38,3.39272727272727
"3",16,0.95,0.781818181818182
"9",17,0.13,0.145454545454545
"14",18,0.55,0.773333333333333
