N.1,N.2,N.3,N.4,N.5,X.1,X.2,X.3,X.4,X.5,X.6,X.7,X.8,TT_N,M.1,M.2,M.3,M.4,M.5
1,1,0,1,1,1,0,1,0,0,0,0,1,5,2301.51,35151.45,NA,1179.02,1
0,3,3,1,2,1,0,1,0,0,0,0,1,5,NA,15148.79,101825.51,7385.6,7159.65
3,0,5,5,1,1,0,1,0,0,0,0,1,5,2504.326667,NA,12981.052,19246.836,1447.33
5,8,6,3,0,1,0,1,0,0,0,0,1,5,7149.656,4385.86625,1823.725,3932.81,NA
2,2,0,2,1,1,0,1,0,0,0,0,1,5,959.915,12400.165,NA,2015.705,2705.3
3,0,4,2,2,1,0,1,0,0,0,0,1,5,7733.316667,NA,5361.0225,4773.265,4588.82
1,2,1,0,1,1,0,1,0,0,0,0,1,5,6829.9,14218.505,2996.63,NA,2500
0,3,2,1,1,1,0,0,1,0,0,1,0,5,NA,2169.84,2321.965,2484.86,2998.5
0,2,1,2,1,1,0,0,1,0,0,1,0,5,NA,1824.755,626.25,15508.745,2213.2
2,0,1,1,1,1,0,0,1,0,0,1,0,5,6186.51,NA,8314.19,4839.49,6145.34
0,1,6,1,4,1,0,0,1,0,0,1,0,5,NA,7596.08,1771.016667,2989.89,2076.8075
1,1,0,1,1,1,0,0,1,0,0,1,0,5,15957,1639.2,NA,6863.1,2500
0,1,2,1,1,1,1,0,0,0,0,1,0,5,NA,1291.7,1347.885,1788.95,2325.2
1,1,0,1,1,1,1,0,0,0,0,0,1,5,1692.85,14539.88,NA,5000,1088.43
1,2,0,1,1,1,1,0,0,0,0,0,1,5,2087.21,1551.06,NA,6957.47,2112.34
2,0,3,1,1,1,1,0,0,0,0,0,1,5,13233.725,NA,2438.736667,2876.09,1202.95
1,1,2,0,1,1,0,0,0,0,1,1,0,5,1319.45,911.8,1891.375,NA,3165.8
2,2,1,0,1,1,0,0,0,0,1,0,1,5,2845.685,2382.575,783.23,NA,2279.65
1,1,0,1,1,1,0,0,0,0,1,1,0,5,244363.69,1340.45,NA,2054.44,3931.25
2,1,0,1,2,1,0,0,0,0,1,0,1,5,5310.285,7865,NA,19700,10992.59
2,2,3,2,0,1,0,0,0,0,1,0,1,5,1438.14,11967.94,4225.213333,2671.405,NA
4,8,6,0,NA,1,1,0,0,0,0,0,1,4,2278.7325,4200.27125,2080.115,NA,NA
1,NA,1,1,0,1,0,0,0,0,1,0,1,4,1515.25,NA,1920,1064.12,NA
1,1,0,NA,NA,1,1,0,0,0,0,0,1,3,822,2071.13,NA,NA,NA
NA,NA,NA,0,2,1,0,1,0,0,0,0,1,2,NA,NA,NA,NA,75299.06
2,0,NA,NA,NA,1,0,0,1,0,0,1,0,2,7445.615,NA,NA,NA,NA
0,1,NA,NA,NA,1,0,0,1,0,0,1,0,2,NA,21541.5,NA,NA,NA
0,1,NA,NA,NA,1,0,0,1,0,0,0,1,2,NA,1258.81,NA,NA,NA
0,1,NA,NA,NA,1,0,0,1,0,0,1,0,2,NA,2796,NA,NA,NA
0,1,NA,NA,NA,1,0,0,1,0,0,0,0,2,NA,1545.24,NA,NA,NA
NA,NA,NA,0,1,1,0,0,1,0,0,0,0,2,NA,NA,NA,NA,2171.83
2,0,NA,NA,NA,1,0,0,0,0,1,1,0,2,1769.835,NA,NA,NA,NA
NA,NA,NA,0,1,1,0,0,0,0,1,1,0,2,NA,NA,NA,NA,6461.31
0,1,NA,NA,NA,1,0,0,0,0,1,1,0,2,NA,624.9,NA,NA,NA
2,0,4,2,0,1,0,1,0,0,0,0,1,5,3137.53,NA,23490.7775,2739.195,NA
0,1,0,2,2,1,0,1,0,0,0,0,1,5,NA,9993.89,NA,9633.625,1724.44
2,3,2,0,0,1,0,1,0,0,0,0,1,5,3765.255,11720.95333,5516.59,NA,NA
0,0,1,1,2,1,0,1,0,0,0,0,1,5,NA,NA,7356.33,3661.29,2852.87
0,1,0,1,1,1,0,1,0,0,0,0,1,5,NA,2250,NA,2385.11,3326.03
1,0,0,1,1,1,0,0,1,0,0,1,0,5,1174.3,NA,NA,2243.18,2456.2
0,1,1,0,2,1,0,0,1,0,0,1,0,5,NA,3313.48,1831.57,NA,49848.77
0,1,0,1,1,1,0,0,1,0,0,0,1,5,NA,8241.5,NA,3286.49,2531.1
0,0,1,1,1,1,0,0,1,0,0,1,0,5,NA,NA,1822.2,2722.35,2238.78
0,1,0,2,2,1,1,0,0,0,0,0,1,5,NA,2653.77,NA,4213.045,3411.435
2,0,0,2,1,1,1,0,0,0,0,0,1,5,9235.66,NA,NA,14781.33,3185.34
