"","lambda_kappa_level","lambda_hat","E_y"
"15",1,0.05,0.0153846153846154
"8",2,0.1,0
"4",4,0.09,0.102857142857143
"10",5,0.01,0.0153846153846154
"12",6,0.05,0.0333333333333333
"16",7,0.22,0.24
"7",8,0.42,0.366666666666667
"2",9,1.31,0.8
"5",10,0.37,0.4
"11",11,0.05,0.0608695652173913
"13",12,0.21,0.207692307692308
"17",13,0.56,0
"6",14,1.09,1.15833333333333
"1",15,3.35,3.34909090909091
"3",16,0.96,0.809090909090909
"9",17,0.14,0.163636363636364
"14",18,0.55,0.746666666666667
