"","Sprem","Cprem","GCprem"
"MSE",0.749024041920908,0.749045551349406,0.636172711764544
"HMSE",0.195376355933334,0.495991395803283,0.322341962564158
"MAE",0.433861838216613,0.379026531232184,0.447522500579637
"DIX",0,0.248402310292665,0
